Date,Price,Open,High,Low,Vol.,Change %
"Nov 17, 2017","29,193.00","29,076.00","29,310.00","29,059.00",128.04K,0.46%
"Nov 16, 2017","29,058.00","28,904.00","29,095.00","28,862.00",115.19K,0.59%
"Nov 15, 2017","28,887.00","29,175.00","29,175.00","28,867.00",130.94K,-0.99%
"Nov 14, 2017","29,175.00","29,187.00","29,275.00","29,082.00",105.51K,-0.04%
"Nov 13, 2017","29,187.00","29,061.00","29,227.00","28,984.00",98.99K,0.41%
"Nov 10, 2017","29,069.00","29,113.00","29,179.00","28,936.00",136.19K,-0.20%
"Nov 09, 2017","29,127.00","28,941.00","29,170.00","28,870.00",132.49K,0.61%
"Nov 08, 2017","28,949.00","28,971.00","29,129.00","28,828.00",136.11K,-0.09%
"Nov 07, 2017","28,975.00","28,609.00","29,025.00","28,555.00",125.21K,1.27%
"Nov 06, 2017","28,612.00","28,564.00","28,634.00","28,087.00",170.88K,0.15%
"Nov 03, 2017","28,568.00","28,531.00","28,612.00","28,468.00",84.93K,0.07%
"Nov 02, 2017","28,547.00","28,578.00","28,657.00","28,444.00",115.17K,-0.10%
"Nov 01, 2017","28,577.00","28,208.00","28,616.00","28,174.00",118.87K,1.34%
"Oct 31, 2017","28,200.00","28,283.00","28,344.00","28,160.00",101.60K,-0.86%
"Oct 30, 2017","28,444.00","28,432.00","28,628.00","28,344.00",24.22K,0.04%
"Oct 27, 2017","28,433.00","28,265.00","28,488.00","28,251.00",136.52K,0.58%
"Oct 26, 2017","28,270.00","28,278.00","28,301.00","28,030.00",173.24K,-0.05%
"Oct 25, 2017","28,285.00","28,165.00","28,363.00","28,146.00",164.38K,0.44%
"Oct 24, 2017","28,162.00","28,317.00","28,365.00","28,072.00",143.71K,-0.56%
"Oct 23, 2017","28,322.00","28,420.00","28,550.00","28,213.00",111.84K,-0.34%
"Oct 20, 2017","28,419.00","28,234.00","28,531.00","28,179.00",125.38K,0.68%
"Oct 19, 2017","28,227.00","28,688.00","28,775.00","28,057.00",154.03K,-1.57%
"Oct 18, 2017","28,677.00","28,704.00","28,724.00","28,610.00",70.31K,-0.09%
"Oct 17, 2017","28,703.00","28,715.00","28,763.00","28,637.00",78.01K,-0.05%
"Oct 16, 2017","28,718.00","28,470.00","28,811.00","28,466.00",97.47K,0.91%
"Oct 13, 2017","28,458.00","28,438.00","28,512.00","28,356.00",77.48K,0.07%
